Answer,Question,Source File,Sr.No,Option A,Option B,Option C,Option D
D,"Gigabyte = ________ 1000 Kilo 1024 Mega 1024 Tera 1024 Bytes B Byte Byte Byte 5 For protection of computer Anti Virus Virus Memory HDD from virus ------- program should be used. … … … 6 .. group in Home tab fontstyle size Fontsize Font is useful for changing font,font size of selected matter. … … … 7 .. Tab in MSWord View Tools Format Data can be used to change character size and typeface? … … … … 8 . Number of 1 3 4 5 minimum lines you can Drop in Drop Cap option . … … … … 9 . Shortcut key is Ctrl + V Alt + V Ctrl + C Ctrl + D used to paste a matter in MS-WORD … … … … 10 .. Is containing of Table Border Text Box Rectangle Rows and columns. 11 Custom Series Option is TRUE FALSE used to make Series of Data. 12 Custom View option is View Review open Home available in____ 13 DB is financial function. TRUE FALSE 14 Default file name in Excel Document1 File1 Book1 None of these workbook is 15 Delete Sheet Command is File View Home Tools given in _________ Tab - Cells group. 16 Ctrl+D is a shortcut key of Creating a Changing the Deleting a Inserting a _________ duplicate layout of the slide from the new Slide object active presentation Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 Ctrl+M is used to insert a Letter Presentation Document Slide new ___________ 18 Data consisting of Title only Title & Two content Comparison comparison chart can be content presented in _________ slide. 19 Data consisting of lists/ Title only Title & Two content Table bullets can be presented in content _________ slide. 20 Data consisting of text and Table slide Title slide Comparison None of these numbers are best slide represented using ____ slide. 21 _____________is measured Computer Speed of Size of CPU Screen in pixels. memory RAM resolution 22 _____________is NOT a Hardware Memory File Checking error function of Operating Management Management Management in a program System. 23 ____________is an internal CD RAM DVD Flash Drive memory. 24 ___________files can not PDF MS-Word MS-Excel MS-PowerPoi be edited. nt 25 ___________is NOT an Linux Unix Mac Java operating system.",BATCH_-_(501).pdf,1,,,,
C,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 104 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ----------------- is type of Floppy Disk CD Hard disk Pen drive optical Disk. Drive 2 ------- means raw type Information DATA Program System information. 3 --------- means set of Input Program Language Indications commands given to the computer. 4 ---------- printer gives color Monitor Xerox Inkjet Dot-matrix prints output. 5 ----------- virus spoils COM File Data System Processor and EXE extension files. … … … … … 6 .. is the shortcut Alt + F9 Ctrl + F9 Shift + F9 Space + F9 key to display field codes? … … … … … 7 .. items are Footer Foot Note End Note Header placed at the end of a document … … … … … … 8 cannot be Dialog Box Window Word Wizard resized. … … … … … … 9 . Option is Data Insert Page Layout Home use to change of margins. … … … … … … 10 .. Is made up Text Box Rectangles Borders Table of Rows and Columns. =Upper() Function use to convert text in to … … … … … 11 Capital Small Lower Upper cases. 12 '∑' is a sign of Auto sum TRUE FALSE 13 '∑' is a sign of____ Summarize Autosum Subtractions All of the Data above 14 MS Excel 2019 is spreadsheet operating programming All of These powerful_____ package system language 15 ____ Means in built formula Programs Value Figures Functions basically available in Excel 16 ....................... is available Slide Show Window View Format only in PowerPoint. 17 ....................... view is not Normal Draft Notes Page None of these available in PowerPoint Sr.No Question Option A Option B Option C Option D Provisional Ans. 18 ....................... are Fade Push Wipe All of these Transitions available in MS - PowerPoint 19 ....................... is Power .Docx .pptx .mdb .bmp Point file extension. 20 ....................... option is Time Rehearse Automatic Watch used to see slide show at Time some particular time interval. 21 .org domain code is used Government Commercial Educational Organizational to show ___ Site 22 __ is the short form of WB WL Blog None of these Weblog 23 ___ Email Server is Hotmail Yahoo mail Gmail None of these developed by Google Company 24 ___ is necessary to Telephone Modem CD drive Pen Drive connect our Computer with Instrument Internet. 25 ___ is standard Internet IPX SPX TCP/IP ITC protocol.",BATCH_-_(104).pdf,,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 601 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Alphanumeric keys Letter Numbers Letter & Letters, contains - Numbers Numbers & ________________ Special Characters 2 Alt & Ctrl keys are Function Option Keys Combination All of these _______________________ keys Keys __ 3 Alt + F4 can be used for Open a File Open Close active None of above ------------ Program Item or Active file 4 Alu means _________ Automatic Arithmatic Arithmatic And None of these Logic Unit Long Unit Logical Unit 5 ALU stands for Arithmetic TRUE FALSE & Logic Unit 6 A selected text that is Raised Outlined Capscript Superscript raised above the baseline is known as_____ 7 A smallest item of Row Column Field None of these information about a record is_____ 8 A thick border around the Cell pointer selection Border Outline active cell is called____ 9 After clicking on Header TRUE FALSE and Footer we can edit it. 10 After Clicking on Header TRUE FALSE and Footer we can't edit it. 11 Grids has vertical and TRUE FALSE horizontal lines 12 Grids on worksheet in MS vertical and images graphs None of these Excel 2019 are ___ horizontal lines 13 Group of selected cell is Cell Range Row Column Width Table called as______________ Hard Copy is the … … … 14 .. soft copy Printed Both A & B None of the Version of above worksheet 15 Header and Footer is Used TRUE FALSE to print common text on each page. Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 For getting Microsoft F1 F2 F3 F4 PowerPoint Help one can use shortcut key ---------- 17 For rehearsal of Slide Show Custom Slide Rehearse All of these presentation ___________ Show Timing command can be used 18 For running slide show we F4 F6 F5 F7 can use the shortcut key --------------- 19 Format Painter command Clipboard Slides Font Paragraph is available in ___________ group in PowerPoint 20 Frequently used true false commands like New, Save, Undo, Redo etc. are present on Quick Access Toolbar. … … … … … 21 .. Unit controls Input Output Control Memory all parts of a computer. … … … … … 22 ..means set of software Hardware Program Process instructions given to the computer. … … … … … 23 ..means Set Data Collection Program unprocessed information. … … … … … 24 .files can not be PDF MS-Word MS-Excel MS-PowerPoi edited. nt … … … … … … 25 is NOT an Windows 10 DOS Unix Norton example of Operating system",BATCH_-_(601).pdf,,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 304 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ___________ Are types of Ergonomic Flexible Wireless All of these keyboard. 2 ___________ Are types of Mechanical Optical Wireless All Of Above mouse. 3 ___________ Is considered Hard Disk Ram Microprocesso None Of as brain of computer. r Above 4 ___________ Is impact Laser Inkjet Dot Matrix None of these printer. 5 ___________ is necessary Telephone Pen Drive Modem CD Drive to connect our computer Instrument with Internet. 6 ___________ Means Indent Margin Gap Gutter distance between 'Text Matter' and 'Page margins'. 7 ____________ is containing Text Box Rectangles Borders Table of Rows and Columns. 8 _____________ Is type of Windows Ms-Word Dos Unix Application Software 9 _________________ is the CTRL + Alt + Enter Shift + Enter Space + Enter shortcut key for manual Enter line break. 10 _________________ is not Left Right Center Top a type of page margin. Ascending Sorting means … … … … … … … 11 A to z Z to A Both A & B None of the .. Sorting. above 12 Ascending-Descending are Indent Alignment Sorting All of these types of _______ 13 At a time only one Cell can true false be active. 14 At the Left side of the Scroll bar Title Bar Task Bar Status Bar Zoom Slider, we see _______Bar At the right side of the sheet tabs, we get the horizontal … … … … … … … 15 Tool Bar Scroll Bar Title Bar Status Bar . Bar 16 A new presentation can be Blank Existing Design All of these created from___________ presentation presentation template Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 A slide show of pictures PowerPoint Excel Access Word can be created in _____________ 18 Align Text command is Clipboard Slides Font Paragraph available in ___________ group in PowerPoint 19 All commands are Status Bar Ribbons Title Bar None of these available in ______________ in PowerPoint 20 Animation effects can be Selected current slide All slides All of These applied to _____ in a slides presentation. 21 ____________ are two Subject and Subject and Reference and Reference and important parts of E-Mail body reference message body 22 ____________ Is a free Gmail Hotmail Yahoo mail All of above E-Mail program that you can access from any web Browser. 23 ____________ is an Unix Linux Windows Quick Heal example of an antivirus program. 24 ____________ is necessary Modem Telephone CD Drive Pen Drive to connect our Computer Instrument with Internet 25 ____________ is NOT an Windows 10 DOS Unix Norton example of Operating system",BATCH_-_(304).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 605 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Cache Memory is known Temporary Processor Flash Permanent as _______ memory in computer. Calculator like number keys on keyboard are called as … … … … … 2 Toggle Keys Navigation Numeric None Of Keys Keypad Above . 3 Capacity of ____________ Hybrid Mini Micro Super is less as compared to Computers Computer Computer Computer mainframe computers. 4 Capacity of cd is 100 Mb 700 Mb 2 Gb None Of __________ Above 5 Capacity of dvd is 700 Mb 4.7 Gb 10 Gb None Of __________ Above 6 By default page orientation vertical landscape portrait horizontal in word is______ 7 By default, on which page On first page On alternate On every page None of these the header or the footer is page printed? 8 By using _____option we Font zoom Height weight can see the size of the document on screen 9 By using word processors Presentation Database Document Worksheet you can create ___________ Type of file 10 Calibri, Mangal are the Word Art Font Font Style Indents examples of _______________ 11 In MS Excel 2019 which alignment cells group editing group Styles group group contains the cell group styles option ? 12 In MS Excel 2019 which alignment Styles group cells group editing group group contains the group conditional formatting option ? 13 In MS Excel 2019 which font group clipboard Styles group editing group group contains the copy, group cut, paste options ? 14 In MS Excel 2019 which alignment cells group editing group Styles group group contains the format group as a Table option ? Sr.No Question Option A Option B Option C Option D Provisional Ans. 15 In MS Excel 2019 which alignment Styles group cells group editing group group contains the insert, group delete and format options ? 16 How many types of 1 2 3 4 orientation are available in MS-PowerPoint 17 How to create another Press Press Press Press Ctrl+ C copy of a slide? Ctrl+A=> Ctrl+A=> Ctrl+I=>Ctrl+V in new slide Paste in New Ctrl+C=> in new slide slide Press Ctrl+V in new slide 18 Hyperlink command is Home Insert Transition View available in ___________ tab in PowerPoint 19 Hyperlinks can be inserted false true in PowerPoint Presnetation. 20 If the current slide gets full Manually Automatically Directly None of these then new slide has to be inserted _______ 21 A file having .MPEG TRUE FALSE extension represents Text file. A file having .PDF extension represents … … … … … … … 22 Portable Portable Text Image Document Directory ..file. Format Format 23 A letter of memo sent to a Gmail Hotmail Yahoo mail All of above person or group on the internet___ A program used to access the internet is known as … … … 24 Web site Search Browser Word Engine Processor .. 25 A search engine is used to information Connection Files None of above get ____________ from internet.",BATCH_-_(605).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 704 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Computer can make Input Processor Ram None Of mistake only if Above ___________ is wrong 2 Computer can perform Data Entry Save Data Internet All Of Above following tasks Using Typing Surfing 3 Computer dosent get tired Repeatative Monotonous Different All Of Above of _____________ work 4 Computer have Emotions Feelings Both A And B None Of _____________ Above 5 Computer is an Electric Electronic Mechanical None Of ____________ device Above 6 Ctrl + U _________ Underline the Undo the last Underline the Underline the previously changes document selected text deleted text name 7 Ctrl + W is used for Save and Save and Close Without Save, _________ Print the Close Word document Close Document Application Document 8 Ctrl + X ________ Cut Home Copy Paste 9 Ctrl + Y ________ Undo the last Redo the last add a new Paste action action page 10 Ctrl + Z ________ Undo the last Redo the last add a new Paste action action page 11 In Excel Cut option is used Copy and cut and paste Cut New to _________ Paste 12 In Excel Default Alignment Both Both Numbers on Numbers on are _______________ Numbers and Numbers and Right and Text Left and Text Text on Left Text on Right on Left on Right 13 In Excel Default Column 8.43 points 12.65 points 6.75 points 2.25 points Width is ____________ 14 In Excel Default Row 25 picos 15 points 5 cm 1"" Height is _______ 15 In Excel Format Painter is TRUE FALSE used to copy the Format and paste the format in Desired Cell of text 16 In __________ view at a Normal Reading Outline Notes time only one slide is shown. Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 In __________ view Reading Normal Slide sorter Outline sequence of slides can be changed. 18 In __________ we can do Set Up Show Rehearse Slide Custom Rehearsal of the time Timings Transition Animation required for each slide. 19 In __________________ we Outline Pane Slides Pane Notes page Slide Sorter can see all the slides in the presentation file in thumbnail view. 20 In a PowerPoint Sound clips Movie clips Both cannot Both can be presentation___ can be can be be inserted inserted inserted but inserted but not movie not sound clips clips 21 Any unwanted or TRUE FALSE unsolicited Email is spam 22 Assembly Language is a TRUE FALSE low level programming language. 23 ATM Centers system TRUE FALSE works entirely on Mobile 24 ATM Centers system TRUE FALSE works on Internet 25 Attachment buttons show U pin M Pin N pin W Pin __________ icon on it.",BATCH_-_(704).pdf,,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 701 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 Caps Lock on means- All text All text small Only first Only first capital character character capital small 2 CD & ---------- disk are Floppy Hard Disk Pen Drive DVD example of optical disk 3 CD stands for ______ Circular Disk Compact Circular Drive Compact Disc Drive 4 Characteristic of artificial Can Think Take Both A And B None Of intelligence __________ Decisions Above 5 Characteristic of Very Fast Very Small In Both A And B None Of microprocessor Size Above __________ 6 Caps Lock On is used in All text All text small Only first Only first Word for____ capital character character capital small 7 Change the Page Page Paper Style Paper Source __________________ to Orientation margins create a document in wide format Change the … … … … … … … … 8 Page Page Paper Style Paper Source ... to Orientation margins create a document in wide format 9 Click _____button to clear Clear Clear All delete cut all the Tabs from the Tab stops list 10 Clipart pane will appear on Top center right Left the_____side of the screen 11 In MS Excel 2019 which alignment font group cells group editing group group contains the sort & group filter, find and select options ? 12 In MS Excel 2019 which alignment font group cells group editing group group contains the wrap group text, merge and center options ? 13 In a single worksheet we 16,384 15,584 13,384 12,284 have _____________ Columns 14 In a workbook default Sheet panes Sheet cells Sheet Tab Sheet sheet names are displayed Templates on _______________ Sr.No Question Option A Option B Option C Option D Provisional Ans. 15 In a Worksheet, Actual Column Row Line Cell Data is entered in ____________ 16 If we want a slide show to From From current Run Start from run from the current slide beginning slide beginning then click ___________ button. 17 If we want to run slide F6 - slide from Slide show - Slide show - show from the first slide show - start beginning from beginning start slide the steps we should follow slide show - show - from are ................. from beginning beginning 18 If you ____ a slide it will not show close hide exit be shown in the full screen slide show. 19 If you do not wish to show Delete Hide Show None of Above particular slide in slide show, ___________ command can be used 20 If you make the changes in Slide Show Slide sorter Slide Master None of the _____ the changes apply to above whole presentation. 21 A search engine is used to Internet MS Office Browser Gmail get information from __________ 22 A search engine is used to True False get information from internet. 23 A search tool is a program Server Client Network Web Site that finds _______________that match keywords that you enter. 24 A search tool is a program TRUE FALSE that finds web sites, web pages and internet files that match keywords that you enter. 25 A web page retrieved HTML Modem MS Access Web Browser using a ____",BATCH_-_(701).pdf,,,,,
A,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 303 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 __________ Is secondary Ram Rom Cache None Of memory Above 2 __________ means raw Program Data Information System type of information 3 __________ Printer is used Plotter Inkjet Dot Matrix Laser to print images like engineering drawing, maps etc. 4 ___________ Are most Super Mainframe Mini Computer Micro powerful and efficient Computer Computer Computer computers 5 ___________ Are types of Digital Analogue Both A And B None Of computer Above 6 _________ is search World Wide Gopher HTTP HTML Engine. Web 7 _________ is the biggest LAN WAN MAN INTERNET Network in the world. 8 _________ Line spacing is Multiple Single Double Five invalid in MS-Word. 9 ___________ alignment is Left Right Justify center default alignment for word document 10 ___________ is the Border Table TextBox Rectangle combination of Rows and Columns. 11 Additon of cells B4 & F7 =B4*F7 =B4+F7 =B4@F7 =B4/F7 can be done using _____ Formula 12 After starting MS-Excel Book1 Document1 Presentation1 None of these 2019, we see _____ file by default 13 Alignments of cell in Excel Files / Cells Format / FTP / Align None of these sheet can be done Cells by_______ 14 All commands are given in TRUE FALSE tab and ribbon format in MS Excel 2019 . 15 All commands are given in true false the form of Tabs and Ribbon in Excel 2019. Sr.No Question Option A Option B Option C Option D Provisional Ans. 16 _______________________ Window View Slide show Format __ Menu is available only in PowerPoint. 17 ___________View is used Slide Slide show Notes Page Slide Sorter to add the Notes in the slide, for our reference. … … … 18 .means the effects Animation Transition Word Art Clip Art given in slide, regarding how the objects appeared during slide show. … … … … … 19 .. option can be Custom Slide Show Slide Show Action used to creat a new slide Show Setup view Settings show with the current slide but presented in a different order. 20 A default blank TRUE FALSE presentation file has name 'Presentation1' 21 ___________ Is a RAM ROM Cache Optical Disk secondary memory. 22 ___________ Is an Binary Java Bite Code Bit Code example of programming language. 23 ___________ Shows Monitor Mouse Printer Scanner information on the screen of a computer. 24 ___________ Unit controls Input Output Control Memory all parts of a computer. 25 ___________ Virus disturbs Boot File Blog Bug the boot sectors of the disk.",BATCH_-_(303).pdf,,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 405 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 _which is Email client Chrome Internet Microsoft Gopher software? Explorer outlook 2 0' and '1' are part of Unary Binary Trinary None Of ___________ system Above 3",BATCH_-_(405).pdf,,,,,
,or 1 called --------- Bit Bytes Word Value A 4,BATCH_-_(405).pdf,0,,,,
,to 9 numbers are also Number keys Function Alpha Keys Insert Keys A called as ------------ Keys 5,BATCH_-_(405).pdf,0,,,,
D,tb = ____________ 100 Mb 100 Gb 1024 Mb 1024 Gb D … … 6 .tab is used for ruler Data Formula View Insert show and hide … … … 7 group of insert Illustrations Pages Link Table ribbon you can create Smart Art Graphics. … … … 8 . Is not a font face. Bold Arial Calibri Times New Roman … … … 9 . Line spacing 1.0 (Single) 1.5 2.0 (Double) 4 means between two lines there is the spacing of only one line. … … … 10 .. Command is used Home Tab - View Tab - Home Tab - Insert Tab - to see two different parts of Print Layout Window Paragraph Quick Parts same document on Group - split Group screen. 11 Cell value typed in Status Bar Formula Bar Title Bar None of these Selected cell displayed in_____ 12 Chart option is available in Insert tab Home tab page layout view tab ____ in MS Excel 2019 . tab 13 Chart Option is Available in View Insert Data Home __________ Menu 14 Ctrl + Pg Dn key TRUE FALSE combination can be used to go on the next sheet. 15 Ctrl + T is used for creating TRUE FALSE Table in Excel 16 Close command will close TRUE FALSE only currently open presentation Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 Closing and exiting in TRUE FALSE powerpoint are same 18 Comment command is Insert Review View Home available in ___________ tab in PowerPoint 19 Convert to SmartArt Font Paragraph Drawing Editing command is available in ___________ group in PowerPoint 20 Ctrl + D is shortcut key for Delete Permanently Duplicate None of these Delete Slide 21 _______________connects Downloading Uploading Hyperlink Testing the current page of Web Site to another specific page of Web Site. 22 _______________is NOT .BMP .JPEG .GIF .CDR an image file format. 23 ______________is NOT an Quick Heal Net Protector C++ Norton example of antivirus. 24 _____________computers Analog Digital Virtual Rational work on bits. 25 _____________is an Windows Linux Unix Spreadsheet application software.,BATCH_-_(405).pdf,1,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 401 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 ____________ Can contain Folder Basket Box None Of many files. Above 2 ____________ Disturbs Virus Antivirus Software Hardware data, stop or disturb functioning of pc 3 ____________ Is not Windows Linux Ms-Office All Of Above operating system. 4 ____________ Is not type Computer Mobile Typewriter None Of of electronic device Above 5 ____________ Is pointing Mouse Keyboard Scanner None Of device. Above 6 ______comes under View print layout mailing spelling table tab in MS Word 2019 7 ______is the sortcut key for CTRL+A CTRL+Z CTRL+Y CTRL+W closing document in MS-Word 8 ______is used for Toolbar Taskbar Stock chart None of these performing menu operations through GUI 9 ______press when help F4 F3 F1 F2 dialog box is appear 10 _____shortcut key is used ctrl + x ctrl + t ctrl + c ctrl + u for cut the text in MS Word 2019 11 Below the worksheet area, Name Box Tabs Formula Bar Sheet Tabs we get _________ 12 Bold is used to make the Bold Italic Bold & Italic Black selected text as ___ 13 By Pressing Ctrl + S , Open file new file Save file Exit file _____________ action is done. 14 By Pressing Home Key true false Cell Pointer move to first Cell of current Row. 15 By using ____ option, only Contents Cell contents Comments None of the selected matter is removed above but format remains as it is in the cells. 16 Below the slide pane we Slide Outline File Notes get the ___________ Pane Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 Below the slide pane we True False get the Outline Pane. 18 Blank slides contain some Dotted Lines Dotted Circle Dotted box Dots default -------------- for inserting Text / Picture/Objects etc. 19 Blank, Comparison, Title true false only etc. are the types of slide layouts in PowerPoint. 20 Blinds, Honecomb, Cube, true false Doors are some of the Transition effects in PowerPoint. 21 _____________ Is called as Microprocess RAM ROM ALU calculator of computer. or 22 ______________ is NOT a KB MB GB VB valid measurement unit of computer memory 23 _______________ Allows to Java C HTML XML create a webpage with interactive content. 24 _______________ contains Compose Sent Mails Spam Trash deleted E-Mail 25 _______________ is a Social Network A & B both None of above group of computers set up Networking to communicate with one another",BATCH_-_(401).pdf,,,,,
D,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 105 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 WWW stands for World Wise World wise World Wide World wide ___________ Web work Web Work 2 ""Alt"" Key is __________ Combination Insert Addition Change Key. 3 ""Control"" Key is Enter Insert Addition Combination __________ Key. 4 ""PARAM"" is the ------------- Super Micro Mini Mainframe computer 5 ""UNICODE"" is types of Application Program Font File --------- … … … … … … 6 .. Means Indent Margin Gap Gutter distance between Text Matter and Page Margins. … … … … … … … 7 can be Status Area Ruler Status Bar Toolbar used to set margins and indents in Document … … … … … … … 8 . is not a Bold Italics Regular Superscript font style. … … … … … … … … 9 is the Ctrl + F Alt + Ctrl + F Ctrl + D Ctrl + Shift + D short cut key to open Font dialog box. … … … … … … … … 10 . Is a Insertion Bar Tab Insertion Tab Point blinking straight line where Pointer we can type the matter. 11 ____ Option is available Status Bar Title Bar Menu Bar Formula Bar only in MS-Excel Window. 12 _____ Means instruction to Text Formula Number Cell Reference perform calculations 13 ______ data type cannot Text Formula Tree Number be used as a data a cell. 14 _______ Bar is given at the Status Title Access Tool topmost side of 'opening Screen' in Excel 15 ________ means set of Style Font Size Font Group Font different formatting effects. 16 ....................... various Shred Switch Flip All of Above Transitions available in MS - PowerPoint. Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 ....................... View is Slide Slide show Outline Slide Sorter used to adjust or arrange the matter in the slide. 18 ....................... view is Outline Normal Print Layout None of Above useful to create a slide 19 ...........................Menu is Window View Slide Show Format available only in PowerPoint. 20 .ppt extension is for ______ Ms Excel Ms Ms Presenter Ms Word software files. PowerPoint 21 ___ Is the by default Web Internet Netscape Mozilla Firfox Google browser of Microsoft Explorer Navigator Chrome Company 22 ___ Is the machine that Server Printer Monitor Mouse makes www documents available. 23 ___ shortcut key is used F1 F12 F3 F5 for refresh in Internet Explorer 24 ____ Folder shows the Inbox Outbox Sent Mail Trash received Emails of Email account. 25 ____ is an example of Interpreter Operating Compiler Browser Application Software. System",BATCH_-_(105).pdf,,,,,
,KB = ________ Bytes 100 1000 1024 1048 C 2,BATCH_-_(502).pdf,1,,,,
,kb = __________ 1024 Bytes 512 Bytes 1024 Mb None of these A,BATCH_-_(502).pdf,1,,,,
,kb = … … … … … 3,BATCH_-_(502).pdf,1,,,,
,Bytes 512 Bytes 1024 Mb None Of A Above 4,BATCH_-_(502).pdf,1024,,,,
,mb = ___________ 100 Bytes 1024 Kb 1000 Bytes None of these B 5,BATCH_-_(502).pdf,1,,,,
D,Megabyte = ________ 1024 Kilo 1000 Kilo 1022 Kilo Byte 1024 Bits A Byte Byte … … … … … Command is View Tab used to see two different parts of same document on screen. → Window group → Home Tab split → 6 Quick Parts Insert Tab Paragraph group … … … … … … 7 .. Is type of Windows Ms-Word Dos Unix Application Software … … … … … … … … 8 . is the CTRL + Alt + Enter Shift + Enter Space + Enter shortcut-key for manual Enter line break. … … … … … … … … 9 . Can be Status Area Ruler Line Status bar Toolbar used to set margins and indents in Document. If you what first character large than other words in a document … … 10 Capital case drop cap change case font case .effect used 11 Delete sheet Command is File View Home Tools given in _________tab. Delete Sheet Command is given in Home … … … 12 Tab Cells Editing Number Font .. Group. Descending Sorting means … … … … … … … 13 A to z Z to A Both A & B None of the . Sorting above 14 Doughnut is one of the Picture Symbol Chart None of these type of _________ in Excel. 15 Doughnut is one of the TRUE FALSE type of chart in Excel 16 Default name of Document 1 Workbook 1 Presentation1 None of these presentation is 17 Default Orientation in Portrait Landscape Horizontal None of these PowerPoint is Sr.No Question Option A Option B Option C Option D Provisional Ans. 18 Default zoom available in 0.5 1 1.5 Fit to Window PowerPoint is 19 Design and Layout are Template Page Picture Chart given to the slides according to __________ selected 20 Design and Layout Theme true false are given to the slides according to Template selected. 21 ___________means set of software Hardware Program Process instructions given to the computer. 22 __________is a valid file .AVI .JPEG .MPEG .MIDI extension of image. 23 __________is another XML XHTML XPS Xreader format similar to PDF. 24 _________is a Tiredness Less storage Inaccurate Automation characteristic of a computer. 25 _________is NOT a gadget Calendar Clock Currency MS-Word provided by Windows 10.,BATCH_-_(502).pdf,1,,,,
B,"MAHARASHTRA STATE COUNCIL OF EXAMINATION,PUNE OBJECTIVE QUESTION PROVISIONAL ANSWER KEY GCC - TBC JANUARY 2026 EXAM BATCH - 302 Sr.No Question Option A Option B Option C Option D Provisional Ans. 1 __________ is called Pen Scanner Bar code Portable Flatbed photoelectric scanners. reader Scanner scanner 2 __________ is printer Internet Web site Home page interconnected network. 3 __________ Is not output Monitor Pen Drive Printer Plotter device 4 __________ Is output Monitor Printer Plotter All Of Above device 5 __________ Is permanent Ram Rom Cache None Of memory Above 6 _______ Is the shortcut key Ctrl + G Ctrl + C Ctrl + E Ctrl + H to ""Center Align"". 7 _______ Line spacing 1.0 (Single) 1.5 2.0 (Double) 4 means between two lines there is the spacing of only one line. 8 _______ shortcut key is F1 F2 F7 F8 used to spell check in MS-Word 9 _______ Tab we can do Page Layout Print Layout A4 Home page setting in MS-Word 10 _________ Is containing of Table Border Text Box Rectangle Rows and columns. A dark coloured strip showing the title at the top of Ms- Excel window is called as … … … 11 Status Bar Title Bar Scroll Bar None of the above .. 12 A formula in Excel always TRUE FALSE has to start with (fx). 13 A single worksheet has 16000 16384 17000 17384 _____ columns 14 A single worksheet has 10,48,576 11,00,000 12,00,000 None of these _____ rows 15 A Workbook may contain Worksheet Column Row Pages many ___________ 16 _______________ can be Video Audio Both A & B None of These recorded in PowerPoint Sr.No Question Option A Option B Option C Option D Provisional Ans. 17 _______________ tab is Window Slide Show Format Home available only in PowerPoint. 18 __________________ are Fade Push Wipe All of these transitions available in PowerPoint 19 __________________ Entrance Exit Emphasis Flip transition are available in PowerPoint 20 ____________________ is a Title only status Line Circle type of slide in PowerPoint 21 __________ Can be used Word Image editor Windows E-mail to send and receive Processor messages. 22 __________ Is an example Interpreter Operating Browser Compiler of Application Software. System 23 __________ means raw Characters Information Data Analysis information given to computer as input. 24 __________ Means Forward Compose Delete Reply respond to received mail. 25 __________ Means Compose Forward Reply Delete sending received E-Mail to some other mail id.",BATCH_-_(302).pdf,,,,,
